k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
546,1,-4.334987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
547,1,-3.884987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
548,1,-3.434987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
549,1,-2.984987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
550,1,-2.534987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
551,1,-2.084987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
552,1,-1.634987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
553,1,-1.184987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
554,1,-0.734987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
555,1,-0.284987,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
556,0,0.165013,0.070993,0.007301,0.00563436,1.000000,0.997183,1,1.000000,0.996619,1,1.000000,0.997746,1,1.000000,0.995774,1
